TF	Gene	Input
ATF1	DLD	1
ATF1	PNPLA8	1
ATF1	THAP5	1
ATF1	DNAJB9	1
ATF1	DOCK4	1
ATF1	ZNF277	1
ATF1	IFRD1	1
ATF1	C7orf60	1
ATF1	TES	1
ATF1	RP11-667F14.1	1
ATF1	ST7	1
ATF1	ING3	1
ATF1	CPED1	1
ATF1	POT1	1
ATF1	POT1-AS1	1
ATF1	GCC1	1
ATF1	ARF5	1
ATF1	FSCN3	1
ATF1	AC073934.6	1
ATF1	SND1	1
ATF1	UBE2H	1
ATF1	RP11-306G20.1	1
ATF1	EXOC4	1
ATF1	NUP205	1
ATF1	C7orf73	1
ATF1	RNU6-1154P	1
ATF1	CREB3L2	1
ATF1	AKR1D1	1
ATF1	UBN2	1
ATF1	C7orf55	1
ATF1	C7orf55-LUC7L2	1
ATF1	LUC7L2	1
ATF1	NDUFB2	1
ATF1	NDUFB2-AS1	1
ATF1	BRAF	1
ATF1	WEE2-AS1	1
ATF1	SSBP1	1
ATF1	TRBV14	1
ATF1	RNY1	1
ATF1	KRBA1	1
ATF1	ABCF2	1
ATF1	NUB1	1
ATF1	RHEB	1
ATF1	GALNTL5	1
ATF1	Metazoa_SRP	1
ATF1	GALNT11	1
ATF1	KMT2C	1
ATF1	ACTR3B	1
ATF1	DNAJB6	1
ATF1	ESYT2	1
ATF1	KIAA0020	1
ATF1	CDC37L1-AS1	1
ATF1	CDC37L1	1
ATF1	KIAA2026	1
ATF1	MIR4665	1
ATF1	PLIN2	1
ATF1	CAAP1	1
ATF1	IFT74	1
ATF1	PLAA	1
ATF1	NDUFB6	1
ATF1	APTX	1
ATF1	SMU1	1
ATF1	NFX1	1
ATF1	UBAP2	1
ATF1	RN7SKP114	1
ATF1	UBAP1	1
ATF1	DCTN3	1
ATF1	CCL27	1
ATF1	RP11-195F19.5	1
ATF1	RP11-195F19.9	1
ATF1	RP11-195F19.30	1
ATF1	RNase_MRP	1
ATF1	RMRP	1
ATF1	CCDC107	1
ATF1	RNF38	1
ATF1	RP11-220I1.5	1
ATF1	ZCCHC7	1
ATF1	ZBTB5	1
ATF1	TJP2	1
ATF1	KLF9	1
ATF1	C9orf41	1
ATF1	RP11-522I20.3	1
ATF1	UBQLN1	1
ATF1	AGTPBP1	1
ATF1	ZCCHC6	1
ATF1	CKS2	1
ATF1	MIR3153	1
ATF1	SECISBP2	1
ATF1	LINC00484	1
ATF1	RP11-305L7.3	1
ATF1	SNORA84	1
ATF1	IARS	1
ATF1	IPPK	1
ATF1	RP11-2B6.3	1
ATF1	ZNF169	1
ATF1	HIATL1	1
ATF1	C9orf3	1
ATF1	ZNF367	1
ATF1	CDC14B	1
ATF1	ZNF510	1
ATF1	HIATL2	1
ATF1	TSTD2	1
ATF1	NCBP1	1
ATF1	C9orf156	1
ATF1	RP11-554F20.1	1
ATF1	NR4A3	1
ATF1	IKBKAP	1
ATF1	FAM206A	1
ATF1	TMEM245	1
ATF1	LRRC37A5P	1
ATF1	DNAJC25	1
ATF1	DNAJC25-GNG10	1
ATF1	INIP	1
ATF1	FKBP15	1
ATF1	SLC31A1	1
ATF1	PRPF4	1
ATF1	CDC26	1
ATF1	FBXW2	1
ATF1	RP11-27I1.4	1
ATF1	PSMD5-AS1	1
ATF1	PSMD5	1
ATF1	MRRF	1
ATF1	RBM18	1
ATF1	RP11-175D17.3	1
ATF1	NR6A1	1
ATF1	GOLGA1	1
ATF1	ZBTB43	1
ATF1	GARNL3	1
ATF1	ZNF79	1
ATF1	SNORA65	1
ATF1	RPL12	1
ATF1	LRSAM1	1
ATF1	PTRH1	1
ATF1	TTC16	1
ATF1	SLC25A25	1
ATF1	SWI5	1
ATF1	GOLGA2	1
